head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
24,25,17,17,Validation,46.0,3a43681b0a4600dd,1.2930002212524414,0.09599995613098145,1670129341.91,25,<img src='/static/targets/25.JPEG' />,<img src='/static/targets/17.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/17.JPEG' />,<img src='/static/targets/25.JPEG' />,25.JPEG,17.JPEG,24.JPEG,17.JPEG,25.JPEG,360.26408219337463,2022-12-04T04:49:01.910000,1670128981.645918,45,45
5,16,9,9,Validation,47.0,3a43681b0a4600dd,1.2690000534057615,0.0949997901916504,1670129343.272,16,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/5.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/16.JPEG' />,16.JPEG,9.JPEG,5.JPEG,9.JPEG,16.JPEG,361.62608218193054,2022-12-04T04:49:03.272000,1670128981.645918,46,46
26,27,7,27,Validation,48.0,3a43681b0a4600dd,1.2999999523162842,0.08800005912780762,1670129344.662,7,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/7.JPEG' />,<img src='/static/targets/26.JPEG' />,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/7.JPEG' />,27.JPEG,7.JPEG,26.JPEG,27.JPEG,7.JPEG,363.01608204841614,2022-12-04T04:49:04.662000,1670128981.645918,47,47
23,22,24,22,Validation,49.0,3a43681b0a4600dd,1.378999948501587,0.09200000762939452,1670129346.15,24,<img src='/static/targets/22.JPEG' />,<img src='/static/targets/24.JPEG' />,<img src='/static/targets/23.JPEG' />,<img src='/static/targets/22.JPEG' />,<img src='/static/targets/24.JPEG' />,22.JPEG,24.JPEG,23.JPEG,22.JPEG,24.JPEG,364.5040822029114,2022-12-04T04:49:06.150000,1670128981.645918,48,48
2,10,1,10,Validation,50.0,3a43681b0a4600dd,1.9429998397827148,0.10400009155273438,1670129348.292,1,<img src='/static/targets/10.jpg' />,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/2.JPEG' />,<img src='/static/targets/10.jpg' />,<img src='/static/targets/1.JPEG' />,10.jpg,1.JPEG,2.JPEG,10.jpg,1.JPEG,366.64608216285706,2022-12-04T04:49:08.292000,1670128981.645918,49,49
29,27,25,25,Validation,51.0,3a43681b0a4600dd,2.121000051498413,0.20099997520446777,1670129350.568,27,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/25.JPEG' />,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/25.JPEG' />,<img src='/static/targets/27.JPEG' />,27.JPEG,25.JPEG,29.JPEG,25.JPEG,27.JPEG,368.92208218574524,2022-12-04T04:49:10.568000,1670128981.645918,50,50
14,6,0,0,Validation,52.0,3a43681b0a4600dd,1.315999984741211,0.15700006484985352,1670129351.975,6,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/0.JPEG' />,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/0.JPEG' />,<img src='/static/targets/6.JPEG' />,6.JPEG,0.JPEG,14.JPEG,0.JPEG,6.JPEG,370.3290820121765,2022-12-04T04:49:11.975000,1670128981.645918,51,51
13,3,11,11,Validation,53.0,3a43681b0a4600dd,1.7090001106262207,0.09299993515014648,1670129353.771,3,<img src='/static/targets/3.JPEG' />,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/3.JPEG' />,3.JPEG,11.JPEG,13.JPEG,11.JPEG,3.JPEG,372.1250820159912,2022-12-04T04:49:13.771000,1670128981.645918,52,52
25,16,26,26,Validation,54.0,3a43681b0a4600dd,1.6699998378753662,0.0989999771118164,1670129355.551,16,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/26.JPEG' />,<img src='/static/targets/25.JPEG' />,<img src='/static/targets/26.JPEG' />,<img src='/static/targets/16.JPEG' />,16.JPEG,26.JPEG,25.JPEG,26.JPEG,16.JPEG,373.90508222579956,2022-12-04T04:49:15.551000,1670128981.645918,53,53
10,12,13,12,Validation,55.0,3a43681b0a4600dd,2.0410001277923584,0.09200000762939452,1670129357.678,13,<img src='/static/targets/12.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/10.jpg' />,<img src='/static/targets/12.JPEG' />,<img src='/static/targets/13.JPEG' />,12.JPEG,13.JPEG,10.jpg,12.JPEG,13.JPEG,376.03208208084106,2022-12-04T04:49:17.678000,1670128981.645918,54,54
